movie_id,person_id
406997,19311
1371185,53267
46195,5714
38055,18864
141052,15217
141052,12891
580489,1333
1242011,1393127
1151031,2070453
1151031,2070452
490132,7396
508943,930567
51876,17329
447332,17697
404368,165787
404368,567562
396535,939147
225886,51851
10193,8
49444,142312
44214,6431
259693,2127
75612,86270
577922,525
420817,956
330459,129894
640146,59026
383498,40684
635302,1283010
62835,75035
648878,1145520
10192,64151
48138,59521
615777,136495
639720,17697
13183,15217
1241436,3608245
1241436,2036
986097,1354959
62211,225976
290098,10099
93456,124748
93456,124747
12403,28239
398818,78160
118340,15218
634492,223551
49530,8685
424694,9032
82702,69797
14161,6046
840326,145228
348350,6159
363088,59026
776503,154865
493529,52935
493529,1236679
1949,7467
297802,2127
10198,15810
10198,15811
763215,17597
324849,144816
19913,87742
585083,70652
585083,2093022
341013,40684
427641,132876
307081,20907
23483,957
241554,59521
889737,57130
753342,578
1097549,39847
300668,2036
345887,20907
278927,15277
260514,1443386
8355,5714
1205515,2425998
360920,61300
360920,20503
696506,21684
522938,589402
882598,2218465
335977,366
609681,1795072
985939,90812
22970,47506
331482,45400
80321,18863
80321,18864
80321,12080
381284,1141683
343668,957
359724,366
140300,142312
140300,1262481
424783,1033661
238636,53120
6479,10943
529203,1450348
1100782,2218465
940721,43652
520763,17697
593643,57199
61012,69593
505026,11181
50620,15557
1064028,2263272
363676,190
339964,59
1593,17825
335988,865
337401,15287
72976,488
373571,11012
624860,9340
22832,11266
8363,54733
245891,40644
516729,1717526
310131,138781
698687,84496
399579,2294
514847,79434
484641,59
101299,10943
158852,7087
756999,55499
265208,12786
940551,1092607
320288,11092
23168,880
246655,9032
204082,5501
181533,17825
1154215,1011158
629542,1261455
287947,1302082
334541,30711
38700,1399841
38700,1399842
194662,223
119450,32278
591,6159
20526,86270
91314,865
7485,20907
45612,81850
748783,61411
50619,15557
84892,19311
193756,36602
725201,19272
725201,19271
454640,1245730
929590,2036
917496,510
450465,11614
5559,44114
5559,44113
338970,87877
762441,2580328
184315,11091
673593,1438991
673593,1438990
41446,5140
49519,66193
49519,71267
980489,82194
265195,591600
312221,1056121
10527,18863
10527,18864
920,7879
105864,21198
137113,11694
615656,137467
32657,10965
1083433,1721377
1571,3950
1010756,16938
647245,129952
43074,116805
926393,20907
480530,1551545
345940,12962
460458,100734
2503,25598
250546,26714
451048,59521
44896,1704
55721,116805
28178,5306
695721,10943
73723,124748
760104,101542
588228,144816
10764,12995
278154,229962
249397,42
35,197
1186350,1717375
27578,16483
315837,228134
615453,2367353
512200,51851
274855,8676
666277,2518227
399055,10828
951491,2150
212778,15277
7445,53334
64690,21183
217,488
945729,11181
137106,107446
137106,155267
61791,77357
974576,221522
682507,1668008
1032823,11614
268896,1213074
542178,5655
1417,10828
1125257,1239766
1022796,2375591
1022796,15774
718821,931952
228967,54734
228967,19274
530254,557736
56292,7087
318846,55710
283366,510
214756,52139
333371,568322
507244,131532
395992,125738
81188,151007
324852,8023
324852,124747
13448,6159
458897,9281
438695,52842
1084736,58255
1084736,57558
458723,291263
7512,17403
364689,5714
72105,52139
376867,92784
579974,147021
50014,55789
1034541,933176
82695,70500
752,11266
379686,72024
75780,9033
7446,7399
1226578,90609
1126166,2461
109418,17494
950,5714
22803,37932
324544,4014
661539,366
127380,7
190859,190
333484,20907
1128650,1341
1579,2461
428078,1419579
10528,956
76203,72757
476669,957
308266,57130
842924,551463
50646,56411
50646,56412
592834,13426
353491,74752
1102493,1461490
334524,2945
124905,129894
459151,18864
449443,54868
549509,55493
479455,37932
15512,65630
15512,12080
448119,2945
1724,18865
335787,91268
400155,185438
188927,58189
1042834,6159
447404,65630
974635,564
1217690,1608421
274857,956
395834,1215399
937287,78160
445571,52935
445571,1236679
12429,608
19908,91268
378236,89112
70160,23964
411088,1051305
343611,9181
166424,934803
670292,129894
463821,16847
717930,76422
18239,3288
441130,96676
441130,1782644
311324,607
341174,15890
18240,29214
257211,17698
713704,1398631
1009640,3767680
45243,57130
50359,49903
565770,1500758
64682,6201
353486,51851
254128,132876
893723,1098477
460465,1828590
24021,27571
1402,20646
335797,52842
1271,15217
1241921,1555636
18360,17825
43949,3026
1265,36697
169917,2199
